,nconst,name,roles,Degree centrality,Eigenvector centrality,Closeness centrality,Betweenness centrality,CineMAC rank
1901,nm0944003,Tracy Keenan Wynn,writer,6.156646501418001e-05,0.0001836657845803,0.06788188703289966,0.00023722230684812,0.017091085397335566
1225,nm0002132,Amy Heckerling,"producer,director,writer",7.762728197440001e-05,7.744188050134e-05,0.06785889941544042,0.0003473502405168,0.017090329704608238
2525,nm0770838,Aubrey Schenck,"writer,producer",7.2273676321e-05,0.00124749401026902,0.0668594443870701,0.00017765849451256002,0.01708921764204317
3020,nm0862781,Ernest Tidyman,writer,5.0859253707369995e-05,0.0002517214789212,0.0679076297443842,0.00014470246527452,0.017088728235571823
2651,nm0624714,Marshall Neilan,"writer,director",9.904170458804e-05,0.0035422695703950604,0.06453844148275385,0.000170370935232,0.01708753092324224
1711,nm0000362,Danny DeVito,"producer,director",9.636490176133001e-05,8.672626474158001e-05,0.06790269877768365,0.00026359830084136,0.017087347061256978
5714,nm0295786,Ketti Frings,writer,6.959687349429e-05,0.00295313290070288,0.06526918244846679,5.385415169196001e-05,0.017086441593588977
5722,nm0449462,James V. Kern,"director,writer",8.565769045452e-05,0.00369963798178646,0.06449788486297589,5.356733045376e-05,0.01708418696641766
1678,nm0911486,David S. Ward,"director,writer",8.833449328122e-05,0.00022117144330472001,0.06775892052041736,0.00026831005854568003,0.017084184128887243
1492,nm0946391,Jean Yarbrough,director,0.00013384014133518,0.0027495784487552802,0.06515448274794267,0.00029563592666868,0.01708338431617545
1007,nm0138620,Joe Carnahan,"writer,director,producer",6.156646501418001e-05,9.845708039948e-05,0.06776383062665559,0.00040376901930512,0.01708190579784359
3866,nm0587706,Stuart Millar,"producer,director",5.621285936077e-05,0.0008090603560932801,0.06735546449836737,0.00010592380635008,0.01708166538004287
1184,nm0706182,Bob Rafelson,"director,writer",5.353605653407e-05,0.00025670117851638003,0.067659235796802,0.00035534141493168006,0.017081203611696034
1553,nm0734472,Gene Roddenberry,writer,8.298088762781001e-05,0.00015038456575416,0.06780477586929198,0.000285085668739,0.017080806747853238
3261,nm0387132,William Hjortsberg,writer,1.8737619786920002e-05,8.61839297834e-05,0.06808231810901325,0.00013458005525412,0.01708045492845942
2112,nm0812513,Alec Sokolow,"writer,director",6.424326784089e-05,0.00011219838920182001,0.06792461966829426,0.00021564771066580002,0.017079177259000693
1732,nm0505522,David Levien,"director,writer,producer",8.565769045452e-05,0.00012421104938078,0.0678452237001209,0.00025970982666668005,0.01707870056665572
1731,nm0002718,Brian Koppelman,"director,writer,producer",8.565769045452e-05,0.00012421104938078,0.0678452237001209,0.00025970982666668005,0.01707870056665572
2982,nm0005847,Phil Rosen,director,0.0001472241554687,0.0036401364350715604,0.06437947494033411,0.0001471107799156,0.01707848657769749
3168,nm0291442,Howard Franklin,"writer,director",8.298088762781001e-05,7.96434335899e-05,0.06801024654744683,0.0001406647146724,0.017078383895834236
1807,nm0024925,Hossein Amini,"writer,director",7.762728197440001e-05,0.00014674642850208002,0.06783483384245861,0.00025008171107368,0.017077322316002196
6484,nm0059493,Hal Barwood,"writer,director",3.479843674714e-05,0.00014921139368358,0.0680856227550723,3.862428302623332e-05,0.01707706421713231
3590,nm0377127,Jack Henley,writer,0.00012580973285507,0.00304869754882952,0.06501606822816881,0.00011646858882828,0.01707676102467042
1058,nm0588340,Frank Miller,"writer,director",8.030408480111e-05,3.911750350158e-05,0.06779002988296509,0.0003873276818814,0.017074194788287297
4793,nm0048758,Melville Baker,writer,8.565769045452e-05,0.0036951924883727,0.06443122574125536,7.381865139172e-05,0.017071473642868575
3957,nm0913670,Dale Wasserman,writer,4.550564805396e-05,0.0006329310831582201,0.0675045718502358,0.00010090185904136,0.017070977610122336
3378,nm0629272,Andrew Niccol,"director,writer",4.8182450880660004e-05,8.637934521626e-05,0.06801079613407893,0.00012760155270024,0.01706823987071902
2903,nm0944747,Frank Yablans,"producer,writer",5.353605653407e-05,0.00045883125707242003,0.06760380101692463,0.0001519281970086,0.01706702413188493
1701,nm0946811,Peter Yates,director,6.959687349429e-05,0.00023421069105994003,0.06769733190691836,0.00026500729954584,0.017066536692754607
3498,nm0313884,Maurice Geraghty,"writer,producer",0.00012045612720167,0.0032714574880053204,0.06474996153254346,0.00012092776055076,0.017065700727075302
