tconst,Film,Country,In-Degree Centrality,PageRank Score,Betweenness Centrality,CineMAC rank
tt0104553,Ga yau hei si (1992),Hong Kong,0.0001128371008387,3.764877864380247e-05,4.555869407746584e-06,5.168058296341635e-05
tt0037099,The Mummy's Ghost (1944),USA,0.0001128371008387,4.213828745897343e-05,5.4915621390845257e-08,5.167676797302142e-05
tt0062069,Okasareta hakui (1967),Japan,0.0001128371008387,4.21907573796131e-05,0.0,5.1675952739437706e-05
tt0047086,The High and the Mighty (1954),USA,0.0001128371008387,4.2013062182596006e-05,0.0,5.1616721007098665e-05
tt0037644,Dillinger (1945),USA,0.0001128371008387,2.8714402837741338e-05,1.3287826952239436e-05,5.161311020956026e-05
tt0023634,Otona no miru ehon - Umarete wa mita keredo (1932),Japan,0.0001128371008387,4.180346145303998e-05,0.0,5.1546854097246654e-05
tt0076706,Short Eyes (1977),USA,0.0001128371008387,4.177368926023173e-05,0.0,5.1536930032977235e-05
tt0317740,The Italian Job (2003),USA,0.0001128371008387,3.164907486537922e-05,1.0034930575885752e-05,5.150703542665499e-05
tt0107668,Nemesis (1992),USA,0.0001128371008387,3.983051701723843e-05,1.8080420129884136e-06,5.149188662297562e-05
tt0088402,The Wild Life (1984),USA,0.0001128371008387,3.879400403919648e-05,2.7105845207488585e-06,5.144722979954845e-05
tt0068595,Flesh Gordon (1974),USA,7.522473389250385e-05,7.473510660348093e-05,4.33100017782952e-06,5.1430280224604765e-05
tt0229499,Joyû-rei (1996),Japan,0.0001128371008387,4.130607791150046e-05,0.0,5.138105958340015e-05
tt0071913,The Nine Lives of Fritz the Cat (1974),USA,3.7612366946251926e-05,6.0321706887565614e-05,5.608479726575231e-05,5.133962369985662e-05
tt0027830,The Jungle Princess (1936),USA,0.0001128371008387,4.1081167844843454e-05,0.0,5.130608956118115e-05
tt0035238,Random Harvest (1942),USA,0.0001128371008387,4.1032343654374776e-05,0.0,5.128981483102493e-05
tt0092048,Tampopo (1985),Japan,0.0001128371008387,4.0967463085129646e-05,1.697692030975036e-08,5.127384694804646e-05
tt0124352,Debbie Does Dallas III: [The Final Chapter] (1985),USA,0.0001128371008387,4.090823326832417e-05,1.1317946873166908e-08,5.1252217351299105e-05
tt0437863,The Benchwarmers (2006),USA,7.522473389250385e-05,2.412898280800888e-05,5.435124897399079e-05,5.1234988558167845e-05
tt0051047,The Tall T (1957),USA,0.0001128371008387,4.0825920795323e-05,0.0,5.1221007211341004e-05
tt5563792,Sniper (1993),USA,0.0001128371008387,4.033417432486355e-05,4.835305620750478e-07,5.121826857521287e-05
tt0052278,Teacher's Pet (1958),USA,0.0001128371008387,4.062904518584297e-05,0.0,5.115538200818099e-05
tt0029604,Stage Door (1937),USA,0.0001128371008387,4.059998605157672e-05,0.0,5.114569563009224e-05
tt0257076,S.W.A.T. (2003),USA,0.0001128371008387,3.3361047562227385e-05,7.232480651689062e-06,5.1143543017538813e-05
tt0243655,Wet Hot American Summer (2001),USA,0.0001128371008387,3.67637596856389e-05,3.7321259512756334e-06,5.1110995491871516e-05
